1887,6.8921e+05,1887,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,6.8923e+05,1887,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.1,6.8924e+05,1887,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.1,6.8926e+05,1887,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.1,6.8926e+05,1887,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.2,6.893e+05,1887,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.3,6.8931e+05,1887,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.6,6.8943e+05,1887,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.6,6.8944e+05,1887,8,16,0,0,3,2,0,0,0,0,0,0,0,0,5,1,6,11,2,0
1887.6,6.8944e+05,1887,8,17,0,0,0,0,0,0,0,0,0,1,0,0,0,4,10,1,1,0
1887.6,6.8944e+05,1887,8,18,0,0,4,1,2,0,1,0,1,1,0,1,0,0,2,2,7,0
1887.6,6.8944e+05,1887,8,19,0,3,3,11,7,1,1,2,0,2,2,2,2,1,6,18,3,0
1887.6,6.8944e+05,1887,8,20,0,2,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
1887.6,6.8945e+05,1887,8,21,0,4,5,1,9,4,0,0,0,0,0,0,1,6,3,7,1,0
1887.6,6.8945e+05,1887,8,22,0,1,3,18,8,0,0,0,0,0,0,0,0,0,8,4,2,0
1887.6,6.8945e+05,1887,8,23,0,2,13,14,0,0,0,0,0,0,0,0,0,0,1,10,2,0
1887.6,6.8945e+05,1887,8,25,1,8,5,7,4,0,0,0,0,0,0,1,1,5,2,8,2,0
1887.6,6.8945e+05,1887,8,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.7,6.8945e+05,1887,8,27,0,2,5,5,0,1,0,0,0,0,0,0,0,1,3,4,2,0
1887.7,6.8945e+05,1887,8,28,0,0,2,13,6,0,0,0,0,0,0,0,0,1,13,4,2,0
1887.7,6.8945e+05,1887,8,29,0,4,14,4,1,0,0,0,0,0,2,0,0,7,6,7,0,0
1887.7,6.8946e+05,1887,8,30,0,6,0,3,3,0,0,0,0,0,0,0,0,6,10,3,0,0
1887.7,6.8946e+05,1887,8,31,0,0,4,5,4,0,0,0,0,0,0,0,0,6,3,1,0,0
1887.7,6.8946e+05,1887,9,1,0,1,11,9,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1887.7,6.8946e+05,1887,9,6,0,1,5,15,13,3,0,0,0,0,0,0,0,1,6,2,1,0
1887.7,6.8946e+05,1887,9,7,0,2,15,20,5,0,0,0,0,0,0,0,0,6,2,3,0,0
1887.7,6.8946e+05,1887,9,8,0,6,9,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0
1887.7,6.8946e+05,1887,9,9,0,0,1,2,1,0,0,0,0,0,0,0,0,1,6,15,7,0
1887.7,6.8947e+05,1887,9,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,15,7,0
1887.7,6.8947e+05,1887,9,11,0,0,1,2,0,0,0,1,1,2,0,0,3,12,28,11,3,0
1887.7,6.8947e+05,1887,9,12,0,0,1,1,0,0,0,0,0,0,0,0,4,12,3,12,1,0
1887.7,6.8947e+05,1887,9,13,0,1,0,1,0,5,3,0,0,0,0,0,0,5,9,6,0,0
1887.7,6.8947e+05,1887,9,14,0,0,3,5,12,4,0,0,0,0,0,0,0,3,4,3,0,0
1887.7,6.8947e+05,1887,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.7,6.8947e+05,1887,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,6.9177e+05,1894,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894.1,6.918e+05,1894,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894.1,6.9182e+05,1894,2,15,0,7,19,13,7,2,0,0,0,1,0,0,0,1,6,5,7,2
1894.1,6.9182e+05,1894,2,18,1,5,14,12,3,0,0,0,0,0,0,0,5,14,13,7,5,1
1894.1,6.9182e+05,1894,2,19,1,5,8,4,3,1,0,0,0,0,0,0,5,7,6,6,9,1
1894.1,6.9182e+05,1894,2,20,0,2,2,14,12,2,0,0,0,0,0,0,0,3,19,14,10,1
1894.1,6.9182e+05,1894,2,21,0,5,7,8,1,3,0,0,0,2,1,1,3,17,26,21,2,0
1894.1,6.9182e+05,1894,2,22,3,7,13,11,8,0,0,0,4,0,0,0,3,25,14,1,3,0
1894.1,6.9182e+05,1894,2,23,2,2,12,9,10,5,1,0,0,0,0,0,5,13,12,4,1,0
1894.2,6.9183e+05,1894,2,25,1,1,9,12,8,10,2,0,0,0,0,0,0,2,17,12,7,0
1894.2,6.9183e+05,1894,2,27,1,7,16,22,12,3,0,0,0,0,0,0,2,13,10,2,0,0
